userId,displayName,userUrl,joinDate,joinTime,comp_tier,dataset_tier,notebook_tier,discuss_tier,final_tier,comp_currentRanking,dataset_currentRanking,notebook_currentRanking,discuss_currentRanking,comp_points,dataset_points,notebook_points,discuss_points,comp_GoldMedals,comp_SilverMedals,comp_BronzeMedals,dataset_GoldMedals,dataset_SilverMedals,dataset_BronzeMedals,notebook_GoldMedals,notebook_SilverMedals,notebook_BronzeMedals,discuss_GoldMedals,discuss_SilverMedals,discuss_BronzeMedals
1029053,Chun Ming Lee,/leecming,18-04-2017,56:54.3,1,Unranked,Unranked,3,1,72,Unranked,Unranked,170,46798,Unranked,Unranked,389,5,3,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,27,19,100
2144394,nagiss,/nagiss,11-08-2018,17:29.4,1,Unranked,3,Unranked,1,73,Unranked,860,Unranked,46722,Unranked,105,Unranked,5,6,0,Unranked,Unranked,Unranked,2,4,6,Unranked,Unranked,Unranked
254638,Vicens Gaitan,/vicensgaitan,04-11-2014,23:33.8,1,Unranked,3,Unranked,1,74,Unranked,2647,Unranked,46262,Unranked,29,Unranked,6,23,14,Unranked,Unranked,Unranked,1,3,7,Unranked,Unranked,Unranked
347463,James Trotman,/jtrotman,05-05-2015,00:57.4,2,3,2,2,2,75,504,217,292,45812,30,342,243,4,33,13,0,0,3,1,15,32,22,32,251
219107,Ouranos,/ouranos,26-07-2014,23:13.2,1,Unranked,Unranked,Unranked,1,76,Unranked,Unranked,Unranked,45341,Unranked,Unranked,Unranked,7,27,13,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
582611,Tom Van de Wiele,/tvdwiele,11-04-2016,33:38.2,1,Unranked,Unranked,3,1,77,Unranked,Unranked,258,45016,Unranked,Unranked,270,7,1,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,15,29,169
1134767,XL,/berserker408,21-06-2017,50:53.9,1,Unranked,Unranked,Unranked,1,78,Unranked,Unranked,Unranked,44907,Unranked,Unranked,Unranked,7,15,5,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1345065,The Nam,/namgalielei,19-10-2017,16:15.0,2,Unranked,3,3,2,79,Unranked,931,579,44193,Unranked,97,128,3,7,1,Unranked,Unranked,Unranked,0,3,2,4,4,67
1737995,Random_prediction,/rytisva88,20-03-2018,50:12.3,1,Unranked,Unranked,Unranked,1,80,Unranked,Unranked,Unranked,43664,Unranked,Unranked,Unranked,5,12,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1035112,Young for you,/mahluo,21-04-2017,09:28.4,1,Unranked,Unranked,Unranked,1,81,Unranked,Unranked,Unranked,43419,Unranked,Unranked,Unranked,5,14,7,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
2597628,DIKW,/bestpredict,10-12-2018,57:43.6,1,Unranked,Unranked,3,1,82,Unranked,Unranked,685,43406,Unranked,Unranked,109,5,12,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,6,6,46
1695531,Y.Nakama,/yasufuminakama,06-03-2018,56:37.6,1,3,1,2,1,83,84,4,51,42882,144,2476,907,9,11,5,2,1,6,32,11,5,36,25,191
1786637,Firas Baba,/rinnqd,04-04-2018,49:38.2,2,Unranked,3,3,2,84,Unranked,2211,743,42810,Unranked,39,100,2,9,1,Unranked,Unranked,Unranked,0,2,4,15,17,85
3858775,colum2131,/columbia2131,15-10-2019,57:19.1,2,Unranked,2,3,2,85,Unranked,231,219,42563,Unranked,329,323,4,4,3,Unranked,Unranked,Unranked,3,7,6,14,6,37
6960421,yuuniee,/yuuniekiri,17-03-2021,33:15.2,3,Unranked,Unranked,Unranked,3,86,Unranked,Unranked,Unranked,42486,Unranked,Unranked,Unranked,1,0,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
64626,Mike Kim,/mikeskim,22-10-2012,04:42.3,1,Unranked,Unranked,3,1,87,Unranked,Unranked,2040,42453,Unranked,Unranked,22,7,40,33,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,20,33,142
